id,employer,careers_url,ats_type,disciplines
chemring,Chemring,https://www.chemring.co.uk/careers,Custom,Aerospace Engineering; Chemical Engineering; Systems Engineering
dstl,DSTL,https://www.civilservicejobs.service.gov.uk,Custom,Aerospace Engineering; Systems Engineering; Chemical Engineering; Software Engineering
raf,Royal Air Force,https://www.raf.mod.uk/recruitment,Custom,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
royal-navy,Royal Navy,https://www.royalnavy.mod.uk/careers,Custom,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
british-army,British Army,https://apply.army.mod.uk,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering; Civil Engineering
lockheed-martin-uk,Lockheed Martin UK,https://www.lockheedmartinjobs.com,Custom,Aerospace Engineering; Systems Engineering; Software Engineering
northrop-grumman-uk,Northrop Grumman UK,https://www.northropgrumman.com/careers,Custom,Aerospace Engineering; Systems Engineering; Software Engineering
general-dynamics-uk,General Dynamics UK,https://www.gduk.com/careers,Custom,Systems Engineering; Software Engineering; Electrical & Electronics
l3harris-uk,L3Harris UK,https://l3harris.wd5.myworkdayjobs.com/l3harris/jobs,Workday,Aerospace Engineering; Electrical & Electronics; Systems Engineering
senior-aerospace,Senior Aerospace,https://www.seniorplc.com/careers,Custom,Aerospace Engineering; Mechanical Engineering
arup,Arup,https://www.arup.com/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
wsp,WSP,https://wsp.wd3.myworkdayjobs.com/wsp/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Environmental Engineering
mott-macdonald,Mott MacDonald,https://www.mottmacdonald.com/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
jacobs,Jacobs,https://jacobs.wd5.myworkdayjobs.com/jacobs/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering; Chemical Engineering
aecom,AECOM,https://aecom.wd5.myworkdayjobs.com/aecom/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
atkinsrealis,AtkinsRealis,https://atkinsrealis.wd3.myworkdayjobs.com/atkinsrealis/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
balfour-beatty,Balfour Beatty,https://balfourbeatty.taleo.net/careersection/ex/jobsearch.ftl,Taleo,Civil Engineering; Mechanical Engineering; Electrical & Electronics
laing-orourke,Laing O'Rourke,https://www.laingorourke.com/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics
kier,Kier Group,https://www.kier.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics
morgan-sindall,Morgan Sindall,https://www.morgansindall.com/careers,Custom,Civil Engineering; Mechanical Engineering
costain,Costain,https://www.costain.com/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics
skanska-uk,Skanska UK,https://skanska.wd3.myworkdayjobs.com/skanska/jobs,Workday,Civil Engineering; Mechanical Engineering
galliford-try,Galliford Try,https://www.gallifordtry.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering
wates,Wates Group,https://www.wates.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering
amey,Amey,https://www.amey.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics
national-highways,National Highways,https://nationalhighways.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering; Systems Engineering
network-rail,Network Rail,https://www.networkrail.co.uk/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
tfl,Transport for London,https://tfl.gov.uk/corporate/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
hs2,HS2,https://www.hs2.org.uk/careers,Custom,Civil Engineering; Mechanical Engineering; Systems Engineering
thames-water,Thames Water,https://thameswater.wd3.myworkdayjobs.com/thameswater/jobs,Workday,Civil Engineering; Mechanical Engineering; Chemical Engineering
anglian-water,Anglian Water,https://www.anglianwater.co.uk/careers,Custom,Civil Engineering; Chemical Engineering; Mechanical Engineering
severn-trent,Severn Trent,https://severntrent.wd3.myworkdayjobs.com/severntrent/jobs,Workday,Civil Engineering; Chemical Engineering; Mechanical Engineering
united-utilities,United Utilities,https://careers.unitedutilities.com,Custom,Civil Engineering; Electrical & Electronics; Mechanical Engineering
stantec,Stantec,https://stantec.wd3.myworkdayjobs.com/stantec/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics
arcadis,Arcadis,https://arcadis.wd3.myworkdayjobs.com/arcadis/jobs,Workday,Civil Engineering; Mechanical Engineering
turner-townsend,Turner & Townsend,https://turnertownsend.wd3.myworkdayjobs.com/turnertownsend/jobs,Workday,Civil Engineering; Mechanical Engineering
buro-happold,Buro Happold,https://www.burohappold.com/careers,Custom,Civil Engineering; Mechanical Engineering; Electrical & Electronics
ramboll-uk,Ramboll UK,https://www.ramboll.com/careers,Custom,Civil Engineering; Mechanical Engineering; Renewable Energy
hs2-ltd,Tideway,https://www.tideway.london/careers,Custom,Civil Engineering; Mechanical Engineering
ghd,GHD,https://www.ghd.com/en/careers,Custom,Civil Engineering; Mechanical Engineering; Chemical Engineering
national-grid,National Grid,https://careers.nationalgrid.com,Workday,Electrical & Electronics; Mechanical Engineering; Systems Engineering; Renewable Energy
sse,SSE,https://careers.sse.com,Custom,Electrical & Electronics; Mechanical Engineering; Renewable Energy; Civil Engineering
edf-energy,EDF Energy,https://careers.edfenergy.com,Custom,Electrical & Electronics; Mechanical Engineering; Chemical Engineering; Renewable Energy
orsted,Orsted,https://orsted.wd3.myworkdayjobs.com/orsted/jobs,Workday,Renewable Energy; Mechanical Engineering; Electrical & Electronics; Civil Engineering
scottishpower,ScottishPower,https://iberdrola.wd3.myworkdayjobs.com/iberdrola/jobs,SAP,Electrical & Electronics; Renewable Energy; Mechanical Engineering
rwe,RWE,https://www.rwe.com/careers,Custom,Renewable Energy; Electrical & Electronics; Mechanical Engineering
centrica,Centrica,https://careers.centrica.com,Custom,Mechanical Engineering; Electrical & Electronics; Renewable Energy; Software Engineering
bp,BP,https://www.bp.com/en/global/corporate/careers.html,Custom,Chemical Engineering; Mechanical Engineering; Electrical & Electronics; Renewable Energy
shell,Shell,https://www.shell.co.uk/careers.html,Custom,Chemical Engineering; Mechanical Engineering; Electrical & Electronics; Renewable Energy
totalenergies-uk,TotalEnergies UK,https://careers.totalenergies.com,Custom,Chemical Engineering; Mechanical Engineering; Renewable Energy
equinor-uk,Equinor UK,https://www.equinor.com/careers,Custom,Mechanical Engineering; Chemical Engineering; Electrical & Electronics; Renewable Energy
drax,Drax Group,https://www.drax.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Renewable Energy; Chemical Engineering
vattenfall-uk,Vattenfall UK,https://vattenfall.wd3.myworkdayjobs.com/vattenfall/jobs,Workday,Renewable Energy; Electrical & Electronics; Mechanical Engineering
e-on-uk,E.ON UK,https://eon.wd3.myworkdayjobs.com/eon/jobs,SAP,Electrical & Electronics; Renewable Energy; Mechanical Engineering
wood,Wood,https://woodplc.wd3.myworkdayjobs.com/woodplc/jobs,Workday,Mechanical Engineering; Chemical Engineering; Electrical & Electronics; Renewable Energy; Civil Engineering
petrofac,Petrofac,https://careers.petrofac.com,Custom,Mechanical Engineering; Chemical Engineering; Electrical & Electronics
technipfmc,TechnipFMC,https://technipfmc.wd3.myworkdayjobs.com/technipfmc/jobs,Workday,Mechanical Engineering; Chemical Engineering; Electrical & Electronics
subsea7,Subsea 7,https://www.subsea7.com/en/careers.html,Custom,Mechanical Engineering; Civil Engineering; Electrical & Electronics
nnl,National Nuclear Laboratory,https://www.nnl.co.uk/careers,Custom,Chemical Engineering; Mechanical Engineering; Systems Engineering
lightsource-bp,Lightsource BP,https://lightsourcebp.com/careers,Custom,Renewable Energy; Electrical & Electronics; Civil Engineering
ineos,INEOS,https://www.ineos.com/careers,Custom,Chemical Engineering; Mechanical Engineering
harbour-energy,Harbour Energy,https://www.harbourenergy.com/careers,Custom,Mechanical Engineering; Chemical Engineering; Electrical & Electronics
jlr,Jaguar Land Rover,https://jlrcareers.wd3.myworkdayjobs.com/jlrcareers/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Software Engineering; Systems Engineering
dyson,Dyson,https://dyson.wd3.myworkdayjobs.com/dyson/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Software Engineering; Robotics & Automation
renishaw,Renishaw,https://www.renishaw.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Software Engineering
bentley-motors,Bentley Motors,https://bentleymotors.wd3.myworkdayjobs.com/bentleymotors/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Software Engineering
mclaren,McLaren,https://www.mclaren.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
aston-martin,Aston Martin,https://astonmartin.wd3.myworkdayjobs.com/astonmartin/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Software Engineering
ricardo,Ricardo,https://www.ricardo.com/en/careers,Custom,Mechanical Engineering; Electrical & Electronics; Software Engineering; Chemical Engineering
gkn-automotive,GKN Automotive,https://gknautomotive.wd3.myworkdayjobs.com/gknautomotive/jobs,Workday,Mechanical Engineering; Electrical & Electronics
bosch-uk,Bosch UK,https://www.bosch.co.uk/careers/jobs,SAP,Mechanical Engineering; Electrical & Electronics; Software Engineering; Systems Engineering
zf-uk,ZF UK,https://jobs.zf.com/global/en/search-results,SAP,Mechanical Engineering; Electrical & Electronics; Systems Engineering
mahle-uk,MAHLE UK,https://www.mahle.com/en/career,Custom,Mechanical Engineering; Electrical & Electronics
imi-plc,IMI,https://www.imiplc.com/careers,Custom,Mechanical Engineering; Electrical & Electronics
weir-group,Weir Group,https://weir.wd3.myworkdayjobs.com/weir/jobs,Workday,Mechanical Engineering; Chemical Engineering
smiths-group,Smiths Group,https://smithsgroup.wd3.myworkdayjobs.com/smithsgroup/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Systems Engineering
parker-hannifin,Parker Hannifin,https://parker.wd5.myworkdayjobs.com/parker/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Aerospace Engineering
eaton-uk,Eaton,https://eaton.wd5.myworkdayjobs.com/eaton/jobs,Workday,Mechanical Engineering; Electrical & Electronics; Systems Engineering
spirent,Spirent,https://www.spirent.com/about/careers,Custom,Electrical & Electronics; Software Engineering; Systems Engineering
spectris,Spectris,https://www.spectris.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Software Engineering
bodycote,Bodycote,https://www.bodycote.com/careers,Custom,Mechanical Engineering; Chemical Engineering
luxfer,Luxfer,https://www.luxfer.com/careers,Custom,Chemical Engineering; Mechanical Engineering
siemens-uk,Siemens UK,https://jobs.siemens.com/jobs?location=United+Kingdom,SAP,Electrical & Electronics; Mechanical Engineering; Software Engineering; Systems Engineering
abb-uk,ABB UK,https://careers.abb/global/en/search-results?keywords=graduate&country=United+Kingdom,SAP,Electrical & Electronics; Mechanical Engineering; Robotics & Automation; Systems Engineering
schneider-electric,Schneider Electric,https://www.se.com/uk/en/about-us/careers,Custom,Electrical & Electronics; Mechanical Engineering; Software Engineering; Systems Engineering
honeywell-uk,Honeywell UK,https://careers.honeywell.com,Custom,Electrical & Electronics; Mechanical Engineering; Chemical Engineering; Software Engineering
rockwell-automation,Rockwell Automation,https://rockwellautomation.wd5.myworkdayjobs.com/rockwellautomation/jobs,Workday,Electrical & Electronics; Software Engineering; Systems Engineering; Robotics & Automation
emerson-uk,Emerson UK,https://www.emerson.com/en-gb/careers,Custom,Electrical & Electronics; Mechanical Engineering; Chemical Engineering
ge-vernova,GE Vernova,https://gecareers.wd5.myworkdayjobs.com/gecareers/jobs,Workday,Electrical & Electronics; Mechanical Engineering; Renewable Energy; Systems Engineering
te-connectivity,TE Connectivity,https://te.wd10.myworkdayjobs.com/te/jobs,Workday,Electrical & Electronics; Mechanical Engineering
keysight-uk,Keysight Technologies,https://keysight.wd5.myworkdayjobs.com/keysight/jobs,Workday,Electrical & Electronics; Software Engineering
rohde-schwarz-uk,Rohde & Schwarz UK,https://www.rohde-schwarz.com/uk/careers,Custom,Electrical & Electronics; Systems Engineering
national-instruments,National Instruments (NI),https://pxiemerson.wd5.myworkdayjobs.com/emerson/jobs,Workday,Electrical & Electronics; Software Engineering
cambridge-consultants,Cambridge Consultants,https://www.cambridgeconsultants.com/careers,Custom,Electrical & Electronics; Mechanical Engineering; Software Engineering; Systems Engineering; Biomedical Engineering
pa-consulting,PA Consulting,https://paconsulting.wd5.myworkdayjobs.com/paconsulting/jobs,Workday,Systems Engineering; Software Engineering; Electrical & Electronics; Mechanical Engineering
arm,ARM Holdings,https://arm.wd1.myworkdayjobs.com/arm/jobs,Workday,Software Engineering; Electrical & Electronics; Systems Engineering
cgi-uk,CGI UK,https://www.cgi.com/en/careers,Custom,Software Engineering; Systems Engineering; Electrical & Electronics
capgemini,Capgemini,https://capgemini.wd3.myworkdayjobs.com/capgemini/jobs,Workday,Software Engineering; Systems Engineering
accenture-uk,Accenture UK,https://accenture.wd3.myworkdayjobs.com/accenture/jobs,Workday,Software Engineering; Systems Engineering
ibm-uk,IBM UK,https://ibm.wd12.myworkdayjobs.com/ibm/jobs,Workday,Software Engineering; Systems Engineering; Electrical & Electronics
leidos-uk,Leidos UK,https://leidos.wd5.myworkdayjobs.com/leidos/jobs,Workday,Software Engineering; Systems Engineering; Aerospace Engineering
serco,Serco,https://www.serco.com/uk/careers,Custom,Systems Engineering; Software Engineering
sopra-steria,Sopra Steria,https://soprasteria.taleo.net/careersection/ex/jobsearch.ftl,Taleo,Software Engineering; Systems Engineering
dxc-technology,DXC Technology,https://dxc.com/uk/en/careers,Custom,Software Engineering; Systems Engineering
fujitsu-uk,Fujitsu UK,https://careers.fujitsu.com/emea/en,Custom,Software Engineering; Systems Engineering
atos-uk,Atos UK,https://atos.net/en/careers,Custom,Software Engineering; Systems Engineering
bae-ai,BAE Systems Applied Intelligence,https://www.baesystems.com/en/careers,Workday,Software Engineering; Systems Engineering; Electrical & Electronics
gchq,GCHQ,https://www.gchq.gov.uk/careers,Custom,Software Engineering; Systems Engineering; Electrical & Electronics
ocado-tech,Ocado Technology,https://jobs.ocadogroup.com/jobs,Greenhouse,Software Engineering; Robotics & Automation; Systems Engineering
aveva,AVEVA,https://www.aveva.com/en/about/careers,Custom,Software Engineering; Systems Engineering
assystem,Assystem,https://www.assystem.com/en/careers,Custom,Systems Engineering; Aerospace Engineering; Nuclear Engineering
johnson-matthey,Johnson Matthey,https://matthey.wd3.myworkdayjobs.com/matthey/jobs,Workday,Chemical Engineering; Mechanical Engineering
croda,Croda,https://www.croda.com/en-gb/careers,Custom,Chemical Engineering
elementis,Elementis,https://www.elementis.com/careers,Custom,Chemical Engineering
victrex,Victrex,https://www.victrex.com/en/careers,Custom,Chemical Engineering; Mechanical Engineering
huntsman-uk,Huntsman,https://huntsman.wd5.myworkdayjobs.com/huntsman/jobs,Workday,Chemical Engineering
basf-uk,BASF UK,https://basf.jobs/jobs?location=United+Kingdom,SAP,Chemical Engineering; Mechanical Engineering
dow-uk,Dow Chemical UK,https://dow.wd1.myworkdayjobs.com/dow/jobs,Workday,Chemical Engineering; Mechanical Engineering
lyondellbasell-uk,LyondellBasell UK,https://lyondellbasell.wd3.myworkdayjobs.com/lyondellbasell/jobs,Workday,Chemical Engineering
3m-uk,3M UK,https://3m.wd1.myworkdayjobs.com/3m/jobs,Workday,Chemical Engineering; Mechanical Engineering; Electrical & Electronics
procter-gamble,Procter & Gamble,https://www.pgcareers.com,Custom,Chemical Engineering; Mechanical Engineering
unilever,Unilever,https://careers.unilever.com,Custom,Chemical Engineering; Mechanical Engineering
astrazeneca,AstraZeneca,https://astrazeneca.wd3.myworkdayjobs.com/astrazeneca/jobs,Workday,Chemical Engineering; Biomedical Engineering
gsk,GSK,https://gsk.wd5.myworkdayjobs.com/gsk/jobs,Workday,Chemical Engineering; Biomedical Engineering; Mechanical Engineering
solvay-uk,Solvay UK,https://solvay.wd3.myworkdayjobs.com/solvay/jobs,SAP,Chemical Engineering
akzonobel-uk,AkzoNobel UK,https://www.akzonobel.com/en/careers,Custom,Chemical Engineering
ppg-uk,PPG UK,https://ppg.wd5.myworkdayjobs.com/ppg/jobs,Workday,Chemical Engineering
almac,Almac Group,https://www.almacgroup.com/careers,Custom,Chemical Engineering; Biomedical Engineering
lonza-uk,Lonza UK,https://lonza.wd3.myworkdayjobs.com/lonza/jobs,Custom,Chemical Engineering; Biomedical Engineering
synthomer,Synthomer,https://www.synthomer.com/about-us/careers,Custom,Chemical Engineering
sabic-uk,SABIC UK,https://jobs.sabic.com/jobs,SAP,Chemical Engineering; Mechanical Engineering
tronox-uk,Tronox UK,https://www.tronox.com/careers,Custom,Chemical Engineering
lucite-intl,Lucite International,https://www.luciteinternational.com/careers,Custom,Chemical Engineering
cranswick,Cranswick,https://www.cranswick.plc.uk/careers,Custom,Chemical Engineering; Mechanical Engineering
innospec,Innospec,https://www.innospec.com/careers,Custom,Chemical Engineering
elementis-uk,Elementis UK,https://www.elementis.com/careers,Custom,Chemical Engineering
medtronic,Medtronic,https://medtronic.wd1.myworkdayjobs.com/medtronic/jobs,Workday,Biomedical Engineering; Mechanical Engineering; Electrical & Electronics
smith-nephew,Smith & Nephew,https://smithnephew.wd5.myworkdayjobs.com/smithnephew/jobs,Workday,Biomedical Engineering; Mechanical Engineering
stryker-uk,Stryker UK,https://stryker.wd1.myworkdayjobs.com/stryker/jobs,Workday,Biomedical Engineering; Mechanical Engineering; Electrical & Electronics
zimmer-biomet,Zimmer Biomet,https://zimmerbiomet.wd5.myworkdayjobs.com/zimmerbiomet/jobs,Workday,Biomedical Engineering; Mechanical Engineering
becton-dickinson,Becton Dickinson,https://jobs.bd.com/jobs,Workday,Biomedical Engineering; Mechanical Engineering; Chemical Engineering
boston-scientific,Boston Scientific,https://bostonscientific.wd1.myworkdayjobs.com/bostonscientific/jobs,Workday,Biomedical Engineering; Mechanical Engineering; Electrical & Electronics
ge-healthcare,GE HealthCare,https://gehealthcare.wd5.myworkdayjobs.com/gehealthcare/jobs,Workday,Biomedical Engineering; Electrical & Electronics; Software Engineering
siemens-healthineers,Siemens Healthineers,https://jobs.siemens-healthineers.com/jobs,SAP,Biomedical Engineering; Electrical & Electronics; Software Engineering
philips-uk,Philips UK,https://philips.wd3.myworkdayjobs.com/philips/jobs,Workday,Biomedical Engineering; Electrical & Electronics; Software Engineering
hologic-uk,Hologic UK,https://hologic.wd1.myworkdayjobs.com/hologic/jobs,Workday,Biomedical Engineering; Mechanical Engineering
roche-diagnostics,Roche Diagnostics,https://careers.roche.com/global/en/search-results,SAP,Biomedical Engineering; Chemical Engineering
abbott-uk,Abbott UK,https://abbott.wd5.myworkdayjobs.com/abbott/jobs,Workday,Biomedical Engineering; Mechanical Engineering; Electrical & Electronics
baxter-uk,Baxter UK,https://baxter.wd5.myworkdayjobs.com/baxter/jobs,Workday,Biomedical Engineering; Chemical Engineering; Mechanical Engineering
integra-lifesciences,Integra LifeSciences,https://integralife.wd1.myworkdayjobs.com/integralife/jobs,Workday,Biomedical Engineering; Mechanical Engineering
convatec,ConvaTec,https://convatec.wd3.myworkdayjobs.com/convatec/jobs,Workday,Biomedical Engineering; Chemical Engineering
nhs-england,NHS England (Engineering),https://www.healthjobs.co.uk,Custom,Biomedical Engineering; Electrical & Electronics; Systems Engineering
spectranetics,Philips IGT (Spectranetics),https://www.careers.philips.com,Workday,Biomedical Engineering; Mechanical Engineering
ion-beam-apps,IBA (Ion Beam Applications),https://www.iba-worldwide.com/careers,Custom,Biomedical Engineering; Systems Engineering
universal-robots-uk,Universal Robots UK,https://www.universal-robots.com/careers,Custom,Robotics & Automation; Mechanical Engineering; Electrical & Electronics
kuka-uk,KUKA UK,https://www.kuka.com/en-gb/careers/job-offers,SAP,Robotics & Automation; Mechanical Engineering; Electrical & Electronics
abb-robotics,ABB Robotics,https://careers.abb/global/en/search-results?keywords=graduate&country=United+Kingdom,SAP,Robotics & Automation; Electrical & Electronics; Software Engineering
fanuc-uk,Fanuc UK,https://www.fanuc.eu/uk/en/careers,Custom,Robotics & Automation; Mechanical Engineering; Electrical & Electronics
yaskawa-uk,Yaskawa UK,https://www.yaskawa.eu.com/en/careers,Custom,Robotics & Automation; Electrical & Electronics; Mechanical Engineering
mitsubishi-electric-uk,Mitsubishi Electric UK,https://uk.mitsubishielectric.com/en/about/careers,Custom,Robotics & Automation; Electrical & Electronics; Mechanical Engineering
omron-uk,Omron UK,https://www.omron.co.uk/careers,Custom,Robotics & Automation; Electrical & Electronics; Software Engineering
shadow-robot,Shadow Robot,https://www.shadowrobot.com/careers,Custom,Robotics & Automation; Mechanical Engineering; Software Engineering
moog-uk,Moog UK,https://www.moog.com/careers.html,Custom,Aerospace Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
aveva-solutions,AVEVA Solutions,https://www.aveva.com/en/about/careers,Custom,Software Engineering; Systems Engineering; Robotics & Automation
fetch-robotics,Zebra Technologies (Fetch),https://zebra.wd1.myworkdayjobs.com/zebra/jobs,Workday,Robotics & Automation; Software Engineering
wayve,Wayve,https://boards.greenhouse.io/wayve,Greenhouse,Robotics & Automation; Software Engineering; Systems Engineering
oxbotica,Oxbotica,https://www.oxbotica.com/careers,Custom,Robotics & Automation; Software Engineering; Systems Engineering
npower-renewables,npower Renewables,https://www.rwe.com/en/careers,Custom,Renewable Energy; Electrical & Electronics; Mechanical Engineering
atkins,Atkins,https://atkinsrealis.wd3.myworkdayjobs.com/atkinsrealis/jobs,Workday,Civil Engineering; Mechanical Engineering; Electrical & Electronics; Systems Engineering
hyder,Hyder Consulting,https://arcadis.com/en/careers,Workday,Civil Engineering; Mechanical Engineering
rina-uk,RINA UK,https://www.rina.org/en/careers,Custom,Mechanical Engineering; Civil Engineering; Systems Engineering
npl,National Physical Laboratory,https://www.npl.co.uk/careers,Custom,Electrical & Electronics; Chemical Engineering; Mechanical Engineering; Systems Engineering
ukaea,UK Atomic Energy Authority,https://careers.ukaea.uk,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering; Chemical Engineering
cern-uk,CERN (UK applicants),https://careers.cern.ch,Custom,Electrical & Electronics; Mechanical Engineering; Systems Engineering; Software Engineering
bnfl,Sellafield Ltd,https://www.sellafieldsites.com/careers,Custom,Chemical Engineering; Mechanical Engineering; Electrical & Electronics
stfc,STFC,https://www.stfc.ukri.org/careers,Custom,Systems Engineering; Electrical & Electronics; Software Engineering
nda,Nuclear Decommissioning Authority,https://www.gov.uk/government/organisations/nuclear-decommissioning-authority/about/recruitment,Custom,Chemical Engineering; Mechanical Engineering
hr-wallingford,HR Wallingford,https://www.hrwallingford.com/careers,Custom,Civil Engineering; Mechanical Engineering
cardiff-uni-eng,Atkins (Graduate),https://careers.atkinsrealis.com,Workday,Civil Engineering; Mechanical Engineering
selex-es,Selex ES (Leonardo),https://leonardo.taleo.net/careersection/ex/jobsearch.ftl,Taleo,Systems Engineering; Electrical & Electronics; Software Engineering
msc-industrial,MSC Industrial Direct,https://www.mscdirect.com/about/careers,Custom,Mechanical Engineering
precision-castparts,Precision Castparts Corp,https://www.precast.com/careers,Custom,Aerospace Engineering; Mechanical Engineering; Chemical Engineering
vestas-uk,Vestas UK,https://vestas.wd3.myworkdayjobs.com/vestas/jobs,SAP,Renewable Energy; Mechanical Engineering; Electrical & Electronics
siemens-gamesa-uk,Siemens Gamesa UK,https://siemensgamesa.wd3.myworkdayjobs.com/siemensgamesa/jobs,SAP,Renewable Energy; Mechanical Engineering; Electrical & Electronics
ge-wind,GE Renewable Energy,https://jobs.gecareers.com,Workday,Renewable Energy; Mechanical Engineering; Electrical & Electronics
alstom-uk,Alstom UK,https://www.alstom.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering
bombardier-transport,Bombardier Transportation,https://careers.alstom.com,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering
hitachi-rail,Hitachi Rail,https://www.hitachirail.com/en/company/careers,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering; Software Engineering
caf-uk,CAF UK,https://www.caf.net/en/company/employment.php,Custom,Mechanical Engineering; Electrical & Electronics; Systems Engineering
vivarail,Stadler Rail UK,https://www.stadlerrail.com/en/career,Custom,Mechanical Engineering; Electrical & Electronics
rolls-royce-smr,Rolls-Royce SMR,https://smr.rolls-royce.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Chemical Engineering; Systems Engineering
horizon-nuclear,Horizon Nuclear Power,https://www.horizonnuclearpower.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Civil Engineering
nugen,NuGeneration,https://www.nugencapital.com/careers,Custom,Mechanical Engineering; Electrical & Electronics; Civil Engineering
energetics,Energetics,https://www.energetics.com/careers,Custom,Renewable Energy; Electrical & Electronics; Systems Engineering
offshore-renewable,Offshore Renewable Energy Catapult,https://ore.catapult.org.uk/careers,Custom,Renewable Energy; Mechanical Engineering; Electrical & Electronics
intelligent-energy,Intelligent Energy,https://www.intelligent-energy.com/careers,Custom,Chemical Engineering; Mechanical Engineering; Electrical & Electronics
